Person,Position,Years_Active_in_Position,Usual_Topics,Notes
伊藤収宜 (Ito Shugi),村長 (Mayor),2020-2026 (continuously seen; likely earlier too - not confirmed pre-2020 in this set),"Proposes nearly all agenda bills (提案理由の説明); budgets, contracts, personnel appointments, policy direction",The consistent bill-proposer of record across the whole archive; hands detailed explanation off to department chiefs/Vice Mayor
中嶋英樹 (Nakashima Hideki),総務課長 General Affairs Chief (through Dec 2022) -> 副村長 Vice Mayor (from Jan 2023),2020-2022 as 総務課長; 2023-2026 (ongoing) as 副村長,"Ordinance amendments, personnel/organizational rule changes, general affairs administration, budget explanation on the Mayor's behalf","Central subject of this research. Title change from 総務課長 to 副村長 occurs between the R4-12 (Dec 2022) and R5-1 (Jan 2023) meetings. See nakashima_log.csv for every tracked appearance. NOTE: a company named 中嶋建設株式会社 (rep. 中嶋敏治) won a ¥50.93M village water-pipe contract in 2023 via a narrower designated-bid process - same surname as the Vice Mayor; relationship not established, flagged for follow-up."
松原永治 (Matsubara Eiji),副村長 (Vice Mayor),2020-2021,General affairs / deputy duties,Predecessor Vice Mayor before the post was seemingly vacant 2021-2022 and then filled by 中嶋英樹 in 2023 - gap should be verified against village personnel records outside these minutes
葛城昌俊 (Katsuragi Masatoshi),"議員 -> 副議長 -> 議長 (Council member -> Vice Chair -> Chair,  multiple terms)",2021-2025,"Presiding over sessions, procedural rulings",Most frequent speaker overall (chairing duties generate high turn-count)
山岡隆良 (Yamaoka Takayoshi),"議員 -> 議長/副議長/委員長 (Chair/Vice-Chair/Committee Chair,  multiple terms)",2020-2026,Presiding over sessions,Second most frequent speaker; long continuous tenure across the whole period
寺前伊平 (Terasaki Ihei),議員 -> 副議長 -> 議長,2024-2026,Presiding; general questions (伊勢本街道 heritage protection topic seen),Rising to Chair role in the most recent (2025-2026) sessions
吉田俊弘 (Yoshida Toshihiro),議長 (Chair),2021-2022,Presiding,
木村忠雄 (Kimura Tadao),議員 -> 委員長/臨時議長 (Committee Chair / Acting Chair),2020-2022,"Contract/bidding scrutiny, budget questions",Repeatedly the councilor who pushes back on single-bidder / near-100%-of-estimate contract awards (see 土屋原公民館 2019 and 小中学校統合施設 2020 in projects.csv) - the closest thing to a watchdog voice on procurement in this record
今井智 (Imai Satoshi),"総務課長 (General Affairs Chief,  successor to 中嶋) / 会計管理者 (Accounting Manager)",2021-2026,General affairs / accounting administration,Appears to have taken over 総務課長 duties after 中嶋 moved to Vice Mayor
松岡一生 (Matsuoka Kazuo),議員 -> 予算決算委員会委員長/議会運営委員会委員長 (Budget & Settlement Committee Chair / Steering Committee Chair),2020-2025,Budget and settlement committee reporting,
仲子雄史 (Nakako Yushi),むらづくり振興課長 -> 住民生活課長 (Village Development Chief -> Resident Affairs Chief),2021-2026,"Water/sewer works, resident affairs contracts (incl. 桃俣地区配水管布設替工事 contract explanation)",
片岡保昌 (Kataoka Yasumasa),むらづくり振興課長 (Village Development Chief),2021-2025,"Tourism/development contracts (単身者集合住宅, 桃俣地区公衆トイレ)",
中村康幸 (Nakamura Yasuyuki),教育委員会事務局次長 -> 産業建設課長 (Deputy Education Chief -> Industry/Construction Chief),2020-2026,"School and public-facility construction contract explanations (小中学校統合施設, 菅野体育館, 神末レクリェーション体育館, 土屋原公民館)",Explains nearly every major construction/seismic-retrofit contract in this dataset
川上隆二 (Kawakami Ryuji),保健福祉課長 (Health & Welfare Chief),2023-2026,Health/welfare programs and budget,
森本成則 (Morimoto Narinori),議会事務局長 (Council Secretariat Chief),2020-2025,Administrative/procedural,
古谷匡敏 (Furuya Masatoshi),政策推進課長 -> 産業建設課長 -> 総務課長 (Policy Promotion -> Industry/Construction -> General Affairs Chief),2021-2026,Policy and construction administration,
鈴木泰弘 (Suzuki Yasuhiro),教育長 (Superintendent of Education),2021-2025,Education policy,
松本慶一 (Matsumoto Keiichi),会計管理者 (Accounting Manager),2023-2025,Accounting/settlement,
中嶋敏治 (Nakashima Toshiharu),"中嶋建設株式会社 代表取締役 (President,  Nakashima Construction Co. - private contractor,  not a council/village official)",n/a (private sector),Won the 2023 桃俣地区配水管布設替工事 (Momomata water-pipe) contract at ¥50.93M via designated competitive bid,"Not a village official - listed here because of the surname coincidence with Vice Mayor 中嶋英樹 flagged in projects.csv; treat as an open question, not a confirmed relationship"
